id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kategori_anak,jenis_kelamin,jumlah_anak,satuan,tahun
95,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,ANAK YATIM PIATU,LAKI-LAKI,1,ORANG,2021
96,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
97,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,ANAK YATIM,PEREMPUAN,0,ORANG,2021
98,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,ANAK YATIM,LAKI-LAKI,0,ORANG,2021
99,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,ANAK PIATU,LAKI-LAKI,1,ORANG,2021
100,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,ANAK PIATU,PEREMPUAN,1,ORANG,2021
101,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
102,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
103,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,ANAK YATIM,PEREMPUAN,1,ORANG,2021
104,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,ANAK YATIM,LAKI-LAKI,1,ORANG,2021
105,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,ANAK PIATU,LAKI-LAKI,0,ORANG,2021
106,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,ANAK PIATU,PEREMPUAN,2,ORANG,2021
107,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,ANAK YATIM PIATU,LAKI-LAKI,1,ORANG,2021
108,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
109,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,ANAK YATIM,PEREMPUAN,0,ORANG,2021
110,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,ANAK YATIM,LAKI-LAKI,2,ORANG,2021
111,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,ANAK PIATU,LAKI-LAKI,0,ORANG,2021
112,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,ANAK PIATU,PEREMPUAN,1,ORANG,2021
